CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-12 00:00,cm,471,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-12 00:00,cm,6,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-13 00:00,cm,449,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-13 00:00,cm,6,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-14 00:00,cm,418,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-14 00:00,cm,11,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-15 00:00,cm,391,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-15 00:00,cm,34,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-16 00:00,cm,368,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-16 00:00,cm,64,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-17 00:00,cm,353,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-17 00:00,cm,90,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-18 00:00,cm,349,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-18 00:00,cm,98,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-19 00:00,cm,358,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-19 00:00,cm,96,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-20 00:00,cm,375,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-20 00:00,cm,82,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-21 00:00,cm,394,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-21 00:00,cm,68,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-22 00:00,cm,413,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-22 00:00,cm,61,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-23 00:00,cm,422,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-23 00:00,cm,57,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-24 00:00,cm,422,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-24 00:00,cm,49,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-25 00:00,cm,421,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-25 00:00,cm,52,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-26 00:00,cm,409,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-26 00:00,cm,44,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-27 00:00,cm,396,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-27 00:00,cm,44,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-28 00:00,cm,386,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-28 00:00,cm,59,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-29 00:00,cm,372,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-29 00:00,cm,68,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-30 00:00,cm,350,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-30 00:00,cm,82,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-03-31 00:00,cm,338,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-03-31 00:00,cm,98,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-01 00:00,cm,327,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-01 00:00,cm,112,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-02 00:00,cm,327,Preliminar
