"fecha_inicio","fecha_final","departamento","municipio","tipo_tecnologia","gm","dm","cm","id_empresa","empresa","ano_repor","cod_periodo"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","6","1","1232.1123","31.3254","51.271","1895","EMPRESA DE SERVICOS PUBLICOS DE ACANDI S.A E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","6","1","1236.5686","32.6584","52.1224","1895","EMPRESA DE SERVICOS PUBLICOS DE ACANDI S.A E.S.P.","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","6","1","1080.94","99.69","42.82","2080","JUNTA ADMINISTRADORA DE SERVICIOS PÚBLICOS  DE  CAPURGANA","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","6","1","1207.92","99.65","44.77","2080","JUNTA ADMINISTRADORA DE SERVICIOS PÚBLICOS  DE  CAPURGANA","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","6","1","1184.4397","33.8431","50.3956","1895","EMPRESA DE SERVICOS PUBLICOS DE ACANDI S.A E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","6","1","1156.9457","33.5896","50.7895","1895","EMPRESA DE SERVICOS PUBLICOS DE ACANDI S.A E.S.P.","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","6","1","1221.96","98.49","45.12","2080","JUNTA ADMINISTRADORA DE SERVICIOS PÚBLICOS  DE  CAPURGANA","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","6","1","1038.0512","32.9712","51.0113","1895","EMPRESA DE SERVICOS PUBLICOS DE ACANDI S.A E.S.P.","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","6","1","1149.9","88.65","45.32","2080","JUNTA ADMINISTRADORA DE SERVICIOS PÚBLICOS  DE  CAPURGANA","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","25","1","1271.193","25.8483","129.871","32194","EMPRESA DE SERVICIOS PUBLICOS DEL ALTO BAUDO E.S.P. S.A.S.","2023","1"
